respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,1,Lacrime di Coccodrillo,"Joe Barbieri, Chiara Civello",271491,30,0.578,0.343,11,-10.375,0,0.0346,0.788,0.000324,0.0842,0.291,99.916,4,True,3
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,2,Chillato,"Mattak, Disse",203598,30,0.845,0.624,4,-5.054,0,0.279,0.157,4.79e-05,0.125,0.207,87.172,4,True,3
32,yes,Italy,more than 2 years,Female,Music from my home country/culture,,3- Neutral,4- Slightly increased,3,3,3,5,3,1 - Strongly Disagree,3,Solipsia,"Mattak, Silent Bob",214914,32,0.693,0.664,7,-5.686,0,0.363,0.217,0.0,0.116,0.414,68.285,4,True,3
38,yes,Germany,more than 2 years,Female,Neither home nor NL,,2- Slightly,3- No change,4,3,5,5,4,4,1,So long london,Taylor Swift,262974,69,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,4,False,1
38,yes,Germany,more than 2 years,Female,Music from my home country/culture,,2- Slightly,3- No change,4,3,5,5,4,4,2,S.o.k.o,"Kinoti, Modest Chabari",177316,24,0.457,0.482,11,-10.031,0,0.0589,0.0374,0.000279,0.127,0.665,94.999,4,True,1
38,yes,Germany,more than 2 years,Female,Neither home nor NL,,2- Slightly,3- No change,4,3,5,5,4,4,3,Blackbird,The Beatles,138386,79,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,4,False,1
44,yes,Russia,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,1,"Марафоны - Роки, Три Дня Дождя","Три дня дождя, Роки",147042,39,0.521,0.906,11,-4.041,1,0.0682,0.0702,0.0,0.123,0.511,141.985,4,True,2
44,yes,Russia,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,2,Почему ты еще не фанат? - Серега Пират,СЕРЕГА ПИРАТ,163761,55,0.729,0.875,11,-4.99,0,0.103,0.0645,0.000102,0.377,0.706,132.026,4,True,2
44,yes,Russia,1–2 years,Non-binary / third gender,Neither home nor NL,,4- Much,2-Slightly decreased,4,1 - Strongly Disagree,4,5,3,3,3,Haifisch - Rammstein,Rammstein,224906,60,0.627,0.842,9,-4.215,1,0.0375,0.000832,0.898,0.115,0.309,134.98,4,False,2
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,1,Питер Паркер -madk1d,madk1d,119062,58,0.483,0.904,8,-8.747,1,0.0859,0.000683,0.18,0.344,0.473,98.797,4,True,3
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,2,Все к лучшему - какая разница,Какая Разница,151463,48,0.678,0.677,9,-7.387,1,0.0462,0.0587,0.118,0.151,0.35,123.018,4,True,3
45,yes,Finland,1–2 years,Non-binary / third gender,Music from my home country/culture,,4- Much,5 - Strongly increased,3,6,6,5,5,5,3,Типичная ситуация -madk1d,madk1d,130011,57,0.489,0.871,8,-5.733,0,0.121,0.0111,0.0687,0.461,0.653,165.084,4,True,3
46,yes,Russia,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,7 - Strongly agree,4,6,7 - Strongly agree,1 - Strongly Disagree,2,1,lil peep - white girl,Lil Peep,201333,61,0.588,0.698,11,-7.057,0,0.0434,0.0724,1.23e-05,0.673,0.121,109.973,4,False,2
46,yes,Russia,1–2 years,Female,Music from my home country/culture,,4- Much,5 - Strongly increased,7 - Strongly agree,4,6,7 - Strongly agree,1 - Strongly Disagree,2,2,morgenshtern - povod ,MORGENSHTERN,153250,62,0.753,0.622,1,-4.229,1,0.0662,0.0689,0.0,0.177,0.637,130.101,4,True,2
46,yes,Russia,1–2 years,Female,Music from my home country/culture,,4- Much,5 - Strongly increased,7 - Strongly agree,4,6,7 - Strongly agree,1 - Strongly Disagree,2,3,sqwoz bab - tokyo,SQWOZ BAB,160824,54,0.483,0.821,0,-5.357,1,0.0638,0.0495,0.000289,0.0821,0.312,96.972,4,True,2
47,yes,Russia,1–2 years,Female,Neither home nor NL,,3- Neutral,3- No change,6,5,5,5,1 - Strongly Disagree,1 - Strongly Disagree,1,Glory box,Portishead,308626,79,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,4,False,1
47,yes,Russia,1–2 years,Female,Neither home nor NL,,3- Neutral,3- No change,6,5,5,5,1 - Strongly Disagree,1 - Strongly Disagree,2,Homecoming ,"Kanye West, Chris Martin",203493,83,0.67,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.918,4,False,1
47,yes,Russia,1–2 years,Female,Music from my home country/culture,,3- Neutral,3- No change,6,5,5,5,1 - Strongly Disagree,1 - Strongly Disagree,3,Поломка,SALUKI,130906,37,0.699,0.677,11,-7.089,1,0.0755,0.00214,0.0,0.143,0.275,92.06,4,True,1
48,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,1- Strongly decreased,3,1 - Strongly Disagree,4,2,1 - Strongly Disagree,3,1,Sir Chloe - Too Close,Sir Chloe,170575,63,0.42,0.558,9,-5.728,1,0.0509,0.167,0.0,0.19,0.538,165.987,4,False,1
48,yes,Russia,1–2 years,Male,Music from my home country/culture,,2- Slightly,1- Strongly decreased,3,1 - Strongly Disagree,4,2,1 - Strongly Disagree,3,2,Big Baby Tape - Supersonic ,"Big Baby Tape, Aarne",164000,57,0.883,0.854,8,-5.368,1,0.0461,0.433,0.0,0.258,0.788,120.018,4,True,1
48,yes,Russia,1–2 years,Male,Neither home nor NL,,2- Slightly,1- Strongly decreased,3,1 - Strongly Disagree,4,2,1 - Strongly Disagree,3,3,Slowthai - Deal wiv it,"Mura Masa, slowthai",177000,44,0.795,0.674,1,-5.542,1,0.164,0.00625,0.0,0.219,0.869,142.069,4,False,1
49,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,3,1 - Strongly Disagree,3,4,1,GREIČIO,Despotin Fam,287123,28,0.76,0.707,1,-5.481,1,0.378,0.251,0.0,0.129,0.844,77.01,4,True,3
49,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,3,1 - Strongly Disagree,3,4,2,Savo Zonoj,"Mir, Kaifas",154482,30,0.805,0.558,1,-10.177,1,0.226,0.399,0.0923,0.106,0.465,173.927,4,True,3
49,yes,Lithuania,1–2 years,Male,Music from my home country/culture,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,3,1 - Strongly Disagree,3,4,3,Taip Išmokė,Mir,130369,23,0.875,0.614,11,-9.5,1,0.293,0.347,0.0082,0.0892,0.608,80.979,4,True,3
51,yes,Russia,more than 2 years,Male,Music from my home country/culture,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,5,4,4,5,1,Родина ,ДДТ,277666,46,0.756,0.575,7,-13.205,0,0.0382,0.077,0.0,0.112,0.722,118.89,4,True,1
