respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
24,yes,India,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,5,5,3,3,5,3,Don’t smile (sabrina carpenter),Sabrina Carpenter,206295,79,0.628,0.453,1,-10.141,1,0.0271,0.448,0.000538,0.165,0.328,89.969,4,False,0
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,1,Show Me Love (Tyla’s Version),"WizTheMc, bees & honey, Tyla",176957,82,0.673,0.74,5,-5.387,0,0.0452,0.0171,2.32e-05,0.101,0.211,106.966,4,False,0
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,2,BAILE INoLVIDABLE,Bad Bunny,367725,93,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,False,0
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,3,Wings (I Won’t Let You Down),"Armand Van Helden, Karen Harding",171904,61,0.692,0.856,1,-2.963,0,0.0351,0.0746,1.15e-05,0.153,0.963,125.99,3,False,0
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,1,Last Christmas,Wham!,262960,92,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,False,0
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,2,Boyfriend,Justin Bieber,171333,77,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4,False,0
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,3,Zoo,"Disney, Shakira",190822,80,0.856,0.8,2,-5.892,1,0.0839,0.332,0.0,0.167,0.903,129.033,4,False,0
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,1,My tears,Taylor Swift,255893,80,0.469,0.263,0,-10.63,1,0.0329,0.806,0.0,0.0749,0.112,129.86,4,False,0
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,2,Snow on the beach,"Taylor Swift, Lana Del Rey",229942,73,0.664,0.399,6,-10.997,0,0.0349,0.797,3.13e-06,0.105,0.265,109.937,4,False,0
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,3,But daddy I love him ,Taylor Swift,340428,68,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,4,False,0
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,1,lemon,Kenshi Yonezu,255826,73,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,4,False,0
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,2,apology letter,kensuke ushio,300432,24,0.574,0.816,10,-6.633,0,0.0339,4.56e-06,0.0476,0.103,0.638,124.982,4,False,0
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,3,さよならの夏～コクリコ坂から,広橋真紀子,320680,46,0.353,0.123,8,-16.998,0,0.0563,0.991,0.886,0.109,0.0826,66.273,4,False,0
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,1,This is Who I am,Celeste,230520,57,0.501,0.418,2,-7.168,0,0.0377,0.105,2.08e-06,0.106,0.202,117.776,4,False,0
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,2,Love the Hell Out of You,Lewis Capaldi,205080,74,0.325,0.472,1,-5.972,1,0.0397,0.52,0.0,0.367,0.206,166.807,3,False,0
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,3,Chopin C Minor ,Noble Music Project,242095,21,0.309,0.095,6,-22.75,0,0.0462,0.984,0.936,0.0966,0.0951,62.52,4,False,0
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1,Normal girl,SZA,253590,76,0.624,0.532,0,-7.146,1,0.124,0.269,5.17e-05,0.158,0.362,76.453,4,False,0
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,2,TBH,PARTYNEXTDOOR,123080,81,0.543,0.681,1,-7.876,0,0.0477,0.159,1.49e-06,0.298,0.154,124.926,4,False,0
34,yes,France,more than 2 years,Female,Neither home nor NL,,3- Neutral,2-Slightly decreased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,3,Twenty eight ,The Weeknd,258453,63,0.638,0.633,3,-7.338,0,0.0355,0.574,0.000224,0.111,0.243,130.006,4,False,0
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,1,The coast is where home is,AS IT IS,196160,24,0.301,0.909,1,-4.319,0,0.254,0.000413,0.0,0.183,0.326,174.927,4,False,0
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,2,Speak Soft X,"AS IT IS, Kellin Quinn",212885,26,0.411,0.976,2,-4.286,1,0.277,0.000169,0.0,0.0982,0.258,159.951,4,False,0
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,3,Roses,"The Chainsmokers, ROZES",226738,83,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,4,False,0
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,1,Amphetamin - boyslife ,boylife,120241,34,0.691,0.751,8,-8.222,1,0.426,0.597,0.0165,0.0911,0.633,84.718,4,False,0
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,2,Luther,"Kendrick Lamar, SZA",177598,83,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,False,0
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,3,Derre-bibi ,BIBI,156474,48,0.84,0.678,9,-6.589,1,0.048,0.0445,0.000388,0.341,0.558,124.964,4,False,0
