respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
17,yes,Finland,more than 2 years,Female,Neither home nor NL,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,6,4,6,7 - Strongly agree,1,Wywfm,The Neighbourhood,259413,67,0.557,0.845,8,-2.926,0,0.0346,0.0303,0.00851,0.354,0.508,123.997,4
17,yes,Finland,more than 2 years,Female,Music from my home country/culture,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,6,4,6,7 - Strongly agree,2,Moi em,"Wxrdie, Mcee Blue",203687,59,0.761,0.688,11,-9.544,1,0.309,0.455,0.0399,0.11,0.29,151.874,4
17,yes,Finland,more than 2 years,Female,Neither home nor NL,,5- Entirely,4- Slightly increased,5,7 - Strongly agree,6,4,6,7 - Strongly agree,3,Be nice 2 me,Bladee,127791,61,0.449,0.631,7,-9.019,1,0.07,0.0732,9.27e-06,0.482,0.331,139.017,4
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,1,Butterflies - Justin Bieber,Justin Bieber,193525,63,0.588,0.547,9,-8.219,1,0.0313,0.733,1.16e-06,0.195,0.404,103.93,4
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,2,Revolving Door - Tate Mcrae,Tate McRae,180032,84,0.452,0.737,6,-6.22,1,0.27,0.354,0.0,0.105,0.179,147.822,4
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,3,Warm - Ariana Grande,Ariana Grande,201905,69,0.736,0.762,8,-6.48,1,0.0681,0.121,1.78e-05,0.0982,0.492,122.047,4
19,yes,Hungary,more than 2 years,Male,Neither home nor NL,,1- Not at all,3- No change,6,5,7 - Strongly agree,6,1 - Strongly Disagree,4,1,Drunk-Dazed,ENHYPEN,193260,77,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,4
19,yes,Hungary,more than 2 years,Male,Neither home nor NL,,1- Not at all,3- No change,6,5,7 - Strongly agree,6,1 - Strongly Disagree,4,2,Lalalala,Stray Kids,182224,78,0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976,4
19,yes,Hungary,more than 2 years,Male,Neither home nor NL,,1- Not at all,3- No change,6,5,7 - Strongly agree,6,1 - Strongly Disagree,4,3,Like Jennie,JENNIE,123517,89,0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
20,yes,Czechia,more than 2 years,Male,Neither home nor NL,,1- Not at all,5 - Strongly increased,5,4,5,7 - Strongly agree,5,5,1,Morning Glory,Oasis,303320,58,0.33,0.983,0,-3.038,1,0.0932,0.0664,4.68e-05,0.491,0.0968,136.952,4
20,yes,Czechia,more than 2 years,Male,Neither home nor NL,,1- Not at all,5 - Strongly increased,5,4,5,7 - Strongly agree,5,5,2,She came in through the bathroom window,The Beatles,118626,59,0.53,0.72,2,-8.793,1,0.0338,0.00377,3.32e-05,0.314,0.69,80.656,4
20,yes,Czechia,more than 2 years,Male,Neither home nor NL,,1- Not at all,5 - Strongly increased,5,4,5,7 - Strongly agree,5,5,3,The Passenger ,Iggy Pop,283360,73,0.498,0.889,0,-5.413,1,0.0544,0.0937,1.62e-06,0.734,0.696,134.882,4
24,yes,India,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,5,5,3,3,5,1,Love of my life (harry styles) ,Harry Styles,191638,72,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,4
24,yes,India,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,5,5,3,3,5,2,Busy woman (sabrina carpenter),Sabrina Carpenter,186612,83,0.727,0.755,7,-5.152,1,0.036,0.17,0.0,0.101,0.903,117.015,4
24,yes,India,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,5,5,3,3,5,3,Don’t smile (sabrina carpenter),Sabrina Carpenter,206295,79,0.628,0.453,1,-10.141,1,0.0271,0.448,0.000538,0.165,0.328,89.969,4
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,1,Show Me Love (Tyla’s Version),"WizTheMc, bees & honey, Tyla",176957,82,0.673,0.74,5,-5.387,0,0.0452,0.0171,2.32e-05,0.101,0.211,106.966,4
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,2,BAILE INoLVIDABLE,Bad Bunny,367725,93,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
25,yes,Lebanon,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,6,3,6,4,2,2,3,Wings (I Won’t Let You Down),"Armand Van Helden, Karen Harding",171904,61,0.692,0.856,1,-2.963,0,0.0351,0.0746,1.15e-05,0.153,0.963,125.99,3
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,1,Last Christmas,Wham!,262960,92,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,2,Boyfriend,Justin Bieber,171333,77,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4
26,yes,China,3–6 months,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,3,2,2,1 - Strongly Disagree,2,2,3,Zoo,"Disney, Shakira",190822,80,0.856,0.8,2,-5.892,1,0.0839,0.332,0.0,0.167,0.903,129.033,4
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,1,My tears,Taylor Swift,255893,80,0.469,0.263,0,-10.63,1,0.0329,0.806,0.0,0.0749,0.112,129.86,4
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,2,Snow on the beach,"Taylor Swift, Lana Del Rey",229942,73,0.664,0.399,6,-10.997,0,0.0349,0.797,3.13e-06,0.105,0.265,109.937,4
27,yes,China,more than 2 years,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,3,4,4,4,4,4,3,But daddy I love him ,Taylor Swift,340428,68,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,4
28,yes,India,1–2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,6,4,7 - Strongly agree,7 - Strongly agree,4,6,1,Velda,"Bad Bunny, Omar Courtz, Dei V",235336,89,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
28,yes,India,1–2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,6,4,7 - Strongly agree,7 - Strongly agree,4,6,2,Something,Girl's Day,200705,60,0.813,0.683,6,-3.813,0,0.0285,0.179,0.0,0.0748,0.668,107.95,4
28,yes,India,1–2 years,Female,Music from my home country/culture,,3- Neutral,5 - Strongly increased,6,4,7 - Strongly agree,7 - Strongly agree,4,6,3,Jaane kyun,"Vishal-Shekhar, Vishal Dadlani",277986,57,0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,4
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,1,lemon,Kenshi Yonezu,255826,73,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,4
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,2,apology letter,kensuke ushio,300432,24,0.574,0.816,10,-6.633,0,0.0339,4.56e-06,0.0476,0.103,0.638,124.982,4
29,yes,prefer not to say,3–6 months,Male,Neither home nor NL,,3- Neutral,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,3,3,2,2,3,さよならの夏～コクリコ坂から,広橋真紀子,320680,46,0.353,0.123,8,-16.998,0,0.0563,0.991,0.886,0.109,0.0826,66.273,4
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,1,This is Who I am,Celeste,230520,57,0.501,0.418,2,-7.168,0,0.0377,0.105,2.08e-06,0.106,0.202,117.776,4
30,yes,Brazil,more than 2 years,Male,Neither home nor NL,,3- Neutral,4- Slightly increased,2,3,5,6,1 - Strongly Disagree,2,2,Love the Hell Out of You,Lewis Capaldi,205080,74,0.325,0.472,1,-5.972,1,0.0397,0.52,0.0,0.367,0.206,166.807,3
